wikidata_id|label|fr_label|hide|deleted|dfk_id|or_id|or_label|dfkv_id|dfkv_label|pb_id|pb_label|fs_id|fs_label|av_id|av_label
|Portal, Maurice||0||DFK0002263232|17038|Portal, Maurice||||||||
|Peczenko-Srzednioka, Olga||0||DFK0005228969|17085|Peczenko-Srzednioka, Olga||||||||
|Papke, Zbigniew||0||DFK0009492996|17205|Papke, Zbigniew||||||||
|Premczyslav||0||DFK0009665078|17383|Premczyslav, Premczyslav||||||||
|||0||DFK0005347745|17870|Podgorski, Czeslaw||||||||
|||0||DFK0003724870|12845|Płóciennik, Henryk||||||||
|Pietrzak-Krupińska, Stanisława||0||DFK0000917790|17523|Pietrzak-Krupińska, Stanisława||||||||
|Plotan, Józef||0||DFK0008474407|15169|Plotan, Józef||||||||
|Piątek, Józef||0||DFK0006829413|18220|Piątek, Józef||||||||
|Peb||1||DFK0009571507|18257|Peb, Peb||||||||
|Peras||0||DFK0007118109|18258|Peras, Peras||||||||
|Panas, Włodzimiersz||0||DFK0007766336|12746|Panas, Włodzimiersz||||||||
|Parisot||0|yes|DFK0005253956|8516|Parisot, Parisot||||||||
|Poch, F.G.||0||DFK0009562366|12256|Poch, F.G.||||||||
|Pippart, Hermann||0||DFK0003862133|11874|Pippart, Hermann||||||||
|Peliza, Guiseppe||0||DFK0001086674|11923|Peliza, Guiseppe||||||||
|Pearlstein||0||DFK0007620523|11736|Pearlstein, Pearlstein||||||||
|Papies, Hans Jürgen||0||DFK0004525523|12860|Papies, Hans Jürgen||||||||
|Potrowski, Piotr||0||DFK0007429832|12666|Potrowski, Piotr||||||||
|Puciiłowska, Zofia||0||DFK0001946621|12696|Puciiłowska, Zofia||||||||
|Pacheco, J.||0||DFK0007651490|13127|Pacheco, J.||||||||
|Posada, Juan||0||DFK0009793151|13129|Posada, Juan||||||||
|Porada, Zenon||0||DFK0005080257|13820|Porada, Zenon||||||||
|Petrov, Peter||0||DFK0007487371|13837|Petrov, Peter||||||||
|Pierzgalski, Andrzej||0||DFK0000217478|13739|Pierzgalski, Andrzej||||||||
|Penc, Juan||0||DFK0004712450|16838|Penc, Juan||||||||
|Poniewiera, Ludwik||0||DFK0008026378|13679|Poniewiera, Ludwik||||||||
|Przybytko-Fabijanska, Krystyna||0||DFK0008270872|13943|Przybytko-Fabijanska, Krystyna||||||||
|Piwowarski, Eugeniusz||0||DFK0004397711|13678|Piwowarski, Eugeniusz||||||||
|Panasiuk, Teresa||0||DFK0005927391|13685|Panasiuk, Teresa||||||||
